SampleID,RUN,Group_RUN
7-ZNAB11A,R5237,cmc_MRD
2-ZNAB06C,R5237,cmc_MRD
6-ZNAB10B,R5237,cmc_MRD
5-ZNAB10A,R5237,cmc_MRD
1-ZMG096C,R5669,cmc_MRD
3-ZMG138C,R5669,cmc_MRD
2-ZMG096C2,R5669,cmc_MRD
10-MDGAAF05,R5669,cmc_MRD
8-MDGAAE99,R5669,cmc_MRD
11-MUCAAA56,R5669,cmc_MRD
13-MDCAAB07,R5669,cmc_MRD
6-MDGAAE91,R5669,cmc_MRD
7-MDGAAE97,R5669,cmc_MRD
2-MDCAAB01,R5669,cmc_MRD
12-MUGAAC21,R5669,cmc_MRD
9-MDGAAF04,R5669,cmc_MRD
5-MDGAAE87,R5669,cmc_MRD
2-GW49CT12,R5669,cmc_MRD
4-MDGAAE85,R5669,cmc_MRD
3-MDGAAE47,R5669,cmc_MRD
